,Pid,Time,UnixTimes,Thermal_sensation,Thermal_preference,Clothing,HRStdDev,HRAvg,tempStdDev,tempAvg,EDAStdDev,EDAAvg,Engage_1,Engage_2,Engage_3,Engage_4,Engage_5,Arousal,Valence,Confidence_level
99,14,29/10/2019 15:33,1572323580,1,Cooler,"Shirt,Shorts",8.214695166360636,95.11470606060605,0.1452028082271883,35.569315151515156,5.908173024995796,9.957050377272727,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,4,3.0
100,13,28/10/2019 14:24,1572233040,1,Cooler,"Shirt,Shorts",NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4,4,4.0
101,13,28/10/2019 15:31,1572237060,0,No change,"Shirt,Shorts",NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1,2,3.0
102,13,31/10/2019 13:09,1572487740,1,Cooler,"Shirt,Shorts",NA,NA,NA,NA,NA,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4,3,5.0
103,13,31/10/2019 14:26,1572492360,3,Cooler,"Shirt,Shorts",NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4,3,2.0
104,13,21/11/2019 13:23,1574302980,0,No change,"Shirt,Shorts",NA,NA,NA,NA,NA,NA,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,4,1,4.0
105,12,21/11/2019 15:10,1574309400,0,No change,"Shirt,Shorts",,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,4,3.0
106,11,29/10/2019 9:15,1572300900,1,Cooler,"Shorts,Dress",,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,1,2,2.0
107,11,31/10/2019 9:09,1572473340,2,Cooler,"Shorts,Skirt",,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,3,4.0
108,11,31/10/2019 12:16,1572484560,1,Cooler,"Shorts,Dress",14.393108536636428,67.18585757575758,0.2907444702758499,33.9006,0.10472195518981871,0.6078662767424242,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,2,1,5.0
109,11,20/11/2019 13:49,1574218140,2,No change,"Shirt,Shorts",11.239415725752089,84.6864606060606,1.5330705603532586,32.236236363636365,0.04712485985640755,0.20963438765151515,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3,4,5.0
110,11,21/11/2019 9:35,1574289300,3,Cooler,"Shorts,Dress",,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,3,2,4.0
111,11,21/11/2019 13:27,1574303220,2,No change,"Shorts,Dress",11.70013009955625,83.63898484848485,0.3149311299986328,34.36367878787879,0.7083535833268501,0.7950010893181818,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,3,4.0
112,10,29/10/2019 9:15,1572300900,0,No change,"Jumper,Dress",34.7766741460728,102.40015,4.461162683423282,28.18355546300153,0.19796002805576526,0.21273909530751073,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,4,3,3.0
113,10,29/10/2019 11:26,1572308760,0,No change,"Jumper,Dress",,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,1,3,3.0
114,10,30/10/2019 11:50,1572396600,1,No change,"Shirt,Jumper,Shorts",NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,1,2,
115,10,31/10/2019 12:16,1572484560,2,Cooler,Dress,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,4,3,
116,8,29/10/2019 8:53,1572299580,-1,No change,"Jumper,Jacket,Dress",16.731420731062908,92.88260833333334,0.38548319051590785,30.396974871581286,0.038915081846184016,0.12124674163542969,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,1,3,
117,7,28/10/2019 13:14,1572228840,1,Cooler,Dress,11.701582076635871,86.8144212121212,2.3622289060344963,29.92872121212121,0.045591833871362196,0.05376161295454545,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,2,2,5.0
118,7,28/10/2019 15:21,1572236460,1,Cooler,Dress,12.157829966069457,88.92578484848484,0.5072162061059636,30.626424242424246,0.3458180670629263,0.6169454509090909,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,4,3,5.0
119,7,29/10/2019 15:20,1572322800,2,Cooler,Dress,13.591693089040628,89.62509999999999,0.7034137101037438,32.574984848484846,0.428395076990961,1.4351162186363635,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,3,3,5.0
120,6,29/10/2019 9:01,1572300060,0,No change,"Shirt,Shorts",11.07579771891645,80.76405757575758,0.3240159941962969,35.48875151515151,1.182968919964898,2.0642137123484847,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,2,4,4.0
121,6,29/10/2019 13:13,1572315180,1,Cooler,"Shirt,Shorts",16.399082531528563,87.30947272727273,0.3597464176556627,34.81265454545454,0.3221800965344506,0.5231860986363637,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1,2,3.0
122,6,31/10/2019 13:25,1572488700,2,Cooler,"Shirt,Shorts",10.425209189945708,81.2075303030303,0.19858753795905545,35.81248787878788,5.1066190466040595,5.911476592196969,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,1,3,4.0
123,6,1/11/2019 15:06,1572581160,1,Cooler,"Shirt,Shorts",11.80470555287492,83.22455757575759,0.34042560901373004,36.072599999999994,7.360791108027504,8.972490130151515,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,1,2,4.0
124,6,22/11/2019 12:12,1574385120,-1,Warmer,"Shirt,Jacket,Shorts",22.89619440979441,83.19614545454546,0.413290952202083,33.735912121212124,0.06319757755464804,0.29061161037878785,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,1,4,4.0
125,5,29/10/2019 9:00,1572300000,2,Cooler,"Shirt,Jumper,Shorts",,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,1,2,5.0
